product_name,gst,hsn_code,company
ADD GEL SKETCH PEN,18 %,96081019,Shree Graphics
ADD-ON SELF ADHESIVEPAPER 13X19-100SHEET PKT,18 %,48114100,Shree Graphics
ADD ON STICKER 305X457MM,18 %,48115190,Shree Graphics
Alconil 20 Ltrs,18 %,38242010,Shree Graphics
ALCO ZAP,18 %,38242010,Shree Graphics
ALPPSQUEEZEE,18 %,84439100,Shree Graphics
Aluminium Handle Squeegee,18 %,84439100,Shree Graphics
A-METAL BALLPEN 70PC SET,18 %,96081019,Shree Graphics
AMRO BOPP ADHESIVE TAPE 48MM40MTR BROWN,18 %,39199090,Shree Graphics
AMRO BOPP ADHESIVE TAPE BROWN72MM40MTR 3INCH,18 %,39199090,Shree Graphics
AMRO BOPP ADHESIVE TAPE CLEAR 48MM*40MTR 2INCH,18 %,39199090,Shree Graphics
AMRO BOPP ADHESIVE TAPE CLEAR 72MM-40MM-3,18 %,39199090,Shree Graphics
AMRO PU FOAM 750ML,18 %,39269091,Shree Graphics
ARJUN PHOTO GLOSS ROLL PGP 250GSM 610MMX30MTR,18 %,48115190,Shree Graphics
ARJUN WHITE OPAQUEGLOSSY 175GSM 210X297MM50SHEET,18 %,39219099,Shree Graphics
AROBOND-80 STICKER GUM 1KG,18 %,35061000,Shree Graphics
AROCOM-7,18 %,35069190,Shree Graphics
ART GLOSS PAPER 250 SHEETS,18 %,48115190,Shree Graphics
ASTROLON SHEET,18 %,85469090,Shree Graphics
AVERYDENNISON 13X19 TR STICKER,18 %,39199090,Shree Graphics
AVERY DENSE OPAQUE 330X482MM-100SHEET PACKING,18 %,39199090,Shree Graphics
AVERYDENSION CR ART13X19-(100SHEETPKING),18 %,48114100,Shree Graphics
AW2455F 483MMX 330MM FASSON FASSHEET ART PLUS,18 %,48114100,Shree Graphics
BABY FOUNT(BLUE),18 %,38249900,Shree Graphics
BABY FOUNT(PINK),18 %,38249900,Shree Graphics
BADGE SELF ADHESIVE PAPER 12X18,18 %,48114100,Shree Graphics
BALL PEN NATARAJ GLOW-20PCPKT,18 %,96081029,Shree Graphics
BAMBALIO NUMBERING MACHINE,18 %,96110000,Shree Graphics
BARCODE LABEL 50*25/1500 1 LINE,18 %,48219090,Shree Graphics
BARCODE RIBBON 55MM*300MTRS,18 %,96121010,Shree Graphics
BELL,18 %,83061000,Shree Graphics
BICHROMAT POWDER,18 %,37079090,Shree Graphics
BINDER4000-60KG,18 %,32064990,Shree Graphics
BINDER 55N,18 %,32064990,Shree Graphics
BINDING PAPER ROLL,18 %,48234000,Shree Graphics
Black NL200PL (20KG) WEB,18 %,32151120,Shree Graphics
BLACK PVC LS 20X30,18 %,39199090,Shree Graphics
Blanket Saver 250 GRM,18 %,38242090,Shree Graphics
BOILED OIL,18 %,32151190,Shree Graphics
BONDEX-1KG,18 %,39052100,Shree Graphics
BOPP SELF ADHESIVE TAPE BROWN 2INCH*200MTR,18 %,39199090,Shree Graphics
BROWN/CELLO TAPE 300MTRS2,18 %,39199090,Shree Graphics
BROWN TAPE300MTRS,18 %,39199090,Shree Graphics
Brushes,18 %,8443,Shree Graphics
BUDGET 260X400,18 %,39206290,Shree Graphics
Bull Bond Pouch,18 %,35061000,Shree Graphics
CANON 790 MAGENTA INK CATRIDGE,18 %,32151990,Shree Graphics
CANON INK BOTTLE G1-71 BLACK,18 %,32151990,Shree Graphics
CANON INK BOTTLE G1-71CYAN,18 %,32151990,Shree Graphics
CANON INK BOTTLE GI-71MAGENTA,18 %,32151990,Shree Graphics
CANON INK BOTTLE GI-71YELLOW,18 %,32151990,Shree Graphics
C-BROWN-100GMS,18 %,32041770,Shree Graphics
C CLAMP 2,18 %,84439100,Shree Graphics
CD STICKER MC 13X19 200SHEETS(CDA),18 %,48114100,Shree Graphics
CELLO TAPE 1/2 INCH,18 %,39199090,Shree Graphics
Cello Tape 1 inch,18 %,39199090,Shree Graphics
CELLO TAPE 2 inch 200 Meters,18 %,39199090,Shree Graphics
CELLO TAPE 2 INCHES 100 Meters,18 %,39199090,Shree Graphics
Cello Tape 3/4 inch,18 %,39199090,Shree Graphics
CHROMOLINE 20 INCHES ROLL CCV,18 %,39211200,Shree Graphics
CHROMOLINE FILM 12 INCHES ROLL CCV,18 %,39211200,Shree Graphics
CHROMOLINE FILM 17 INCHES RILL CCV,18 %,39211200,Shree Graphics
